Gender,Discipline,"Result shift","Conversion factor",Exponent
m,60m,-11.5,58.015,1.81
m,100m,-18,25.4347,1.81
m,200m,-38,5.8425,1.81
m,400m,-82,1.53775,1.81
m,1000m,-305.5,0.08713,1.85
m,1500m,-480,0.03768,1.85
m,60mh,-15.5,20.5173,1.92
m,110mh,-28.5,5.74352,1.92
m,high_jump,0.75,585.63491688288,1.42
m,pole_vault,1,140.18206924555,1.35
m,long_jump,2.2,90.567617226687,1.4
m,shot_put,1.5,51.39,1.05
m,discus_throw,4,12.91,1.1
m,javelin_throw,7,10.14,1.08
f,100m,-21,17.857,1.81
f,200m,-42.5,4.99087,1.81
f,400m,-91.7,1.34285,1.81
f,800m,-254,0.11193,1.88
f,60mh,-17,20.0479,1.835
f,100mh,-26.7,9.23076,1.835
f,high_jump,0.75,916.3270493098,1.348
f,pole_vault,1,221.14886683803,1.35
f,long_jump,2.1,124.74354783797,1.41
f,shot_put,1.5,56.0211,1.05
f,discus_throw,3,12.3311,1.1
f,javelin_throw,3.8,15.9803,1.04
